season,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,hs,as,hst,ast,hc,ac,hf,af,hy,ay,hr,ar
1993/94,1993-07-11,Parma,Juventus,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-07-11,Roma,Foggia,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-07-11,Sampdoria,Cagliari,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-07-11,Torino,Reggiana,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-07-11,Udinese,Genoa,0,4,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Atalanta,Parma,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Foggia,Sampdoria,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Genoa,Inter,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Juventus,Cagliari,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Lazio,Torino,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Lecce,Roma,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Milan,Napoli,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Piacenza,Udinese,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-21,Reggiana,Cremonese,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-28,Cagliari,Roma,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-28,Inter,Juventus,2,2,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-28,Lazio,Genoa,4,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
